date,cash,market_value,total_value,positions,benchmark_price,strategy_nav,benchmark_nav
2025-04-18,901785.0,224060.0,1125845.0,1,3772.523,1.125845,0.9085510691696363
2025-04-21,901785.0,220320.0,1122105.0,1,3784.881,1.122105,0.9115272933338888
2025-04-22,901785.0,219538.0,1121323.0,1,3783.952,1.121323,0.9113035587288889
2025-04-23,901785.0,218705.0,1120490.0,1,3786.882,1.12049,0.9120092017780278
2025-04-24,901785.0,215135.0,1116920.0,1,3784.357,1.11692,0.9114010964199813
2025-04-25,901785.0,213112.0,1114897.0,1,3786.994,1.114897,0.9120361751642065
2025-04-28,901785.0,213520.0,1115305.0,1,3781.619,1.115305,0.9107416934614345
2025-04-29,901785.0,210120.0,1111905.0,1,3775.077,1.111905,0.9091661587080326
2025-04-30,901785.0,210358.0,1112143.0,1,3770.571,1.112143,0.9080809615819505
2025-05-06,901785.0,213299.0,1115084.0,1,3808.542,1.115084,0.9172256619979428
2025-05-07,901785.0,213979.0,1115764.0,1,3831.627,1.115764,0.9227853103902206
2025-05-08,901785.0,216206.0,1117991.0,1,3852.896,1.117991,0.9279076045923154
2025-05-09,901785.0,214812.0,1116597.0,1,3846.157,1.116597,0.9262846255792957
2025-05-12,901785.0,215203.0,1116988.0,1,3890.61,1.116988,0.9369904107203797
2025-05-13,901785.0,214200.0,1115985.0,1,3896.258,1.115985,0.9383506400519622
2025-05-14,901785.0,221238.0,1123023.0,1,3943.211,1.123023,0.9496585097059635
2025-05-15,901785.0,218093.0,1119878.0,1,3907.199,1.119878,0.9409856027142933
2025-05-16,901785.0,214693.0,1116478.0,1,3889.085,1.116478,0.9366231391675002
2025-05-19,901785.0,209066.0,1110851.0,1,3877.145,1.110851,0.9337475835338074
2025-05-20,901785.0,208539.0,1110324.0,1,3898.171,1.110324,0.9388113551212466
2025-05-21,901785.0,208573.0,1110358.0,1,3916.381,1.110358,0.9431969387133358
2025-05-22,901785.0,207570.0,1109355.0,1,3913.865,1.109355,0.9425910008595358
2025-05-23,901785.0,207128.0,1108913.0,1,3882.274,1.108913,0.9349828201205084
2025-05-26,901785.0,203167.0,1104952.0,1,3860.107,1.104952,0.9296442571613738
2025-05-27,901785.0,202606.0,1104391.0,1,3839.397,1.104391,0.9246565890563674
2025-05-28,901785.0,202300.0,1104085.0,1,3836.237,1.104085,0.9238955542320401
2025-05-29,901785.0,202453.0,1104238.0,1,3858.7,1.104238,0.9293054039975039
2025-05-30,901785.0,198764.0,1100549.0,1,3840.232,1.100549,0.9248576852836817
2025-06-03,901785.0,196180.0,1097965.0,1,3852.013,1.097965,0.927694948342353
2025-06-04,901785.0,195483.0,1097268.0,1,3868.743,1.097268,0.9317240979027951
2025-06-05,901785.0,197625.0,1099410.0,1,3877.556,1.09941,0.933846566227731
2025-06-06,901785.0,197438.0,1099223.0,1,3873.984,1.099223,0.9329863078756748
2025-06-09,901785.0,197625.0,1099410.0,1,3885.246,1.09941,0.9356985781894644
2025-06-10,901785.0,195976.0,1097761.0,1,3865.465,1.097761,0.9309346446894581
2025-06-11,901785.0,195806.0,1097591.0,1,3894.625,1.097591,0.9379573584481248
2025-06-12,901785.0,192389.0,1094174.0,1,3892.199,1.094174,0.9373730956367899
2025-06-13,901785.0,185436.0,1087221.0,1,3864.182,1.087221,0.9306256549174289
2025-06-16,901785.0,184960.0,1086745.0,1,3873.795,1.086745,0.9329407902864983
2025-06-17,901785.0,186966.0,1088751.0,1,3870.379,1.088751,0.9321181020080481
2025-06-18,901785.0,187544.0,1089329.0,1,3874.971,1.089329,0.9332240108413746
2025-06-19,901785.0,188717.0,1090502.0,1,3843.091,1.090502,0.9255462291326539
2025-06-20,901785.0,193970.0,1095755.0,1,3846.644,1.095755,0.9264019116424118
2025-06-23,901785.0,193392.0,1095177.0,1,3857.902,1.095177,0.9291132186209808
2025-06-24,901785.0,194191.0,1095976.0,1,3904.034,1.095976,0.9402233637209401
2025-06-25,901785.0,193290.0,1095075.0,1,3960.066,1.095075,0.9537177634920516
2025-06-26,901785.0,193613.0,1095398.0,1,3946.02,1.095398,0.9503350118646774
2025-06-27,901785.0,191794.0,1093579.0,1,3921.758,1.093579,0.9444919020837181
2025-06-30,901785.0,192780.0,1094565.0,1,3936.079,1.094565,0.9479408830075133
2025-07-01,901785.0,191250.0,1093035.0,1,3942.762,1.093035,0.9495503753274437
2025-07-02,901785.0,191760.0,1093545.0,1,3943.685,1.093545,0.9497726649296127
2025-07-03,901785.0,191930.0,1093715.0,1,3968.068,1.093715,0.9556449156009972
2025-07-04,901785.0,193681.0,1095466.0,1,3982.203,1.095466,0.9590491014370313
2025-07-07,901785.0,192491.0,1094276.0,1,3965.175,1.094276,0.9549481834026493
2025-07-08,901785.0,193800.0,1095585.0,1,3998.453,1.095585,0.9629626507709933
2025-07-09,901785.0,194412.0,1096197.0,1,3991.401,1.096197,0.9612642907769563
2025-07-10,901785.0,198322.0,1100107.0,1,4010.024,1.100107,0.9657493387305794
2025-07-11,901785.0,202470.0,1104255.0,1,4014.807,1.104255,0.9669012468206927
2025-07-14,901785.0,203949.0,1105734.0,1,4017.668,1.105734,0.9675902723372752
2025-07-15,901785.0,202215.0,1104000.0,1,4019.064,1.104,0.9679264763292882
2025-07-16,901785.0,205173.0,1106958.0,1,4007.202,1.106958,0.9650697057323986
2025-07-17,901785.0,205105.0,1106890.0,1,4034.491,1.10689,0.9716418194415979
2025-07-18,901785.0,212160.0,1113945.0,1,4058.549,1.113945,0.9774357991263031
2025-07-21,901785.0,210375.0,1112160.0,1,4085.607,1.11216,0.983952280226509
2025-07-22,901785.0,219946.0,1121731.0,1,4118.958,1.121731,0.9919843284626301
2025-07-23,901785.0,218246.0,1120031.0,1,4119.769,1.120031,0.9921796446786206
2025-07-24,901785.0,217923.0,1119708.0,1,4149.037,1.119708,0.9992283684882454
2025-07-25,901785.0,212211.0,1113996.0,1,4127.163,1.113996,0.9939603698340245
2025-07-28,901785.0,210868.0,1112653.0,1,4135.824,1.112653,0.996046231420575
2025-07-29,901785.0,211310.0,1113095.0,1,4152.025,1.113095,0.9999479798980838
2025-07-30,901785.0,216053.0,1117838.0,1,4151.238,1.117838,0.9997584436934177
2025-07-31,901785.0,208930.0,1110715.0,1,4075.591,1.110715,0.9815400888339574
2025-08-01,901785.0,209202.0,1110987.0,1,4054.929,1.110987,0.976563980751599
2025-08-04,901785.0,210885.0,1112670.0,1,4070.702,1.11267,0.9803626523604965
2025-08-05,901785.0,215917.0,1117702.0,1,4103.45,1.117702,0.9882494778121019
2025-08-06,901785.0,216886.0,1118671.0,1,4113.485,1.118671,0.9906662450469517
2025-08-07,901785.0,218280.0,1120065.0,1,4114.666,1.120065,0.9909506697708539
2025-08-08,901785.0,207655.0,1109440.0,1,4104.967,1.10944,0.98861482269454
2025-08-11,901785.0,214336.0,1116121.0,1,4122.511,1.116121,0.9928400109723883
2025-08-12,901785.0,213231.0,1115016.0,1,4143.825,1.115016,0.9979731426957154
2025-08-13,901785.0,213792.0,1115577.0,1,4176.578,1.115577,1.0058611723163469
2025-08-14,901785.0,211956.0,1113741.0,1,4173.313,1.113741,1.0050748499424769
2025-08-15,901785.0,211990.0,1113775.0,1,4202.353,1.113775,1.0120686636445235
2025-08-18,901785.0,212211.0,1113996.0,1,4239.413,1.113996,1.0209939644640087
2025-08-19,901785.0,214880.0,1116665.0,1,4223.374,1.116665,1.0171312310629368
2025-08-20,901785.0,221527.0,1123312.0,1,4271.396,1.123312,1.0286965520546616
2025-08-21,901785.0,220405.0,1122190.0,1,4288.071,1.12219,1.0327124557558196
2025-08-22,901785.0,222173.0,1123958.0,1,4377.998,1.123958,1.054369917353063
2025-08-25,901785.0,236283.0,1138068.0,1,4469.222,1.138068,1.076339740395608
2025-08-26,901785.0,239411.0,1141196.0,1,4452.591,1.141196,1.0723344333818774
2025-08-27,901785.0,227494.0,1129279.0,1,4386.127,1.129279,1.056327655355265
2025-08-28,901785.0,227324.0,1129109.0,1,4463.782,1.129109,1.0750296044955001
2025-08-29,901785.0,233223.0,1135008.0,1,4496.759,1.135008,1.082971580888489
2025-09-01,901785.0,230945.0,1132730.0,1,4523.711,1.13273,1.0894625336053472
2025-09-02,901785.0,232985.0,1134770.0,1,4490.453,1.13477,1.0814528829131065
2025-09-03,901785.0,230503.0,1132288.0,1,4459.83,1.132288,1.0740778292974806
2025-09-04,901785.0,227953.0,1129738.0,1,4365.209,1.129738,1.0512898938187836
