time,code,name,direction,price,quantity,reason,pnl
2022-10-24,002027,分众传媒,BUY,5.05,39600,入场: 深度价值信号,0.0
2022-10-31,002027,分众传媒,SELL,4.48,39600,硬止损 -11.3%,-22571.999999999975
2022-10-31,000568,泸州老窖,BUY,156.35,1200,入场: 深度价值信号,0.0
2022-10-31,002027,分众传媒,BUY,4.48,44000,入场: 深度价值信号,0.0
2022-11-10,002027,分众传媒,SELL,5.38,44000,移动止盈 回撤11.2%,39599.99999999998
2022-12-01,000568,泸州老窖,SELL,195.39,1200,移动止盈 回撤15.9%,46847.99999999999
2023-03-10,000807,云铝股份,SELL,12.84,21000,移动止盈 回撤10.6%,69930.0
2023-04-25,000792,盐湖股份,BUY,20.12,9900,入场: 深度价值信号,0.0
2023-08-17,000792,盐湖股份,SELL,18.28,9900,硬止损 -9.1%,-18216.0
2023-08-23,000792,盐湖股份,BUY,17.3,11500,入场: 深度价值信号,0.0
2023-11-27,000792,盐湖股份,SELL,15.88,11500,硬止损 -8.2%,-16330.0
2023-12-05,000792,盐湖股份,BUY,15.63,12700,入场: 深度价值信号,0.0
2024-01-17,000568,泸州老窖,BUY,153.8,1300,入场: 深度价值信号,0.0
2024-01-31,000792,盐湖股份,SELL,14.34,12700,硬止损 -8.3%,-16383.000000000011
2024-01-31,000792,盐湖股份,BUY,14.34,13900,入场: 深度价值信号,0.0
2024-07-04,000568,泸州老窖,SELL,139.51,1300,硬止损 -9.3%,-18577.000000000025
2024-07-04,000568,泸州老窖,BUY,139.51,1400,入场: 深度价值信号,0.0
2024-07-29,000568,泸州老窖,SELL,126.23,1400,硬止损 -9.5%,-18591.99999999998
2024-07-29,000568,泸州老窖,BUY,126.23,1500,入场: 深度价值信号,0.0
2024-08-14,000792,盐湖股份,SELL,14.04,6900,时间止损 196天,-2070.000000000005
2024-08-15,000792,盐湖股份,SELL,14.04,3500,时间止损 197天,-1050.0000000000025
2024-08-16,000792,盐湖股份,SELL,13.93,1700,时间止损 198天,-697.0000000000002
2024-08-19,000792,盐湖股份,SELL,13.96,900,时间止损 201天,-341.9999999999991
2024-08-20,000792,盐湖股份,SELL,13.89,400,时间止损 202天,-179.99999999999972
2024-08-21,000792,盐湖股份,SELL,13.88,200,时间止损 203天,-91.99999999999982
2024-08-22,000792,盐湖股份,SELL,13.75,100,时间止损 204天,-58.999999999999986
2024-08-23,000792,盐湖股份,SELL,13.59,100,时间止损 205天,-75.0
2024-08-28,000568,泸州老窖,SELL,112.94,1500,硬止损 -10.5%,-19935.00000000001
2024-08-28,000568,泸州老窖,BUY,112.94,1700,入场: 深度价值信号,0.0
2024-09-12,000568,泸州老窖,SELL,102.6,1700,硬止损 -9.2%,-17578.000000000007
2024-09-12,000568,泸州老窖,BUY,102.6,1900,入场: 深度价值信号,0.0
2024-09-26,000568,泸州老窖,SELL,123.72,1900,移动止盈 回撤15.8%,40128.00000000001
2024-09-26,000568,泸州老窖,BUY,123.72,1600,入场: 深度价值信号,0.0
2024-10-14,000792,盐湖股份,SELL,17.4,100,移动止盈 回撤8.4%,305.9999999999999
2025-01-10,000568,泸州老窖,SELL,113.34,1600,硬止损 -8.4%,-16607.999999999993
2025-01-10,000568,泸州老窖,BUY,113.34,1700,入场: 深度价值信号,0.0
2026-01-21,000568,泸州老窖,SELL,113.18,800,时间止损 376天,-127.99999999999727
2026-01-22,000568,泸州老窖,SELL,112.35,400,时间止损 377天,-396.00000000000364
2026-01-23,000568,泸州老窖,SELL,112.04,200,时间止损 378天,-259.99999999999943
2026-01-26,000568,泸州老窖,SELL,112.43,100,时间止损 381天,-90.99999999999966
2026-01-27,000568,泸州老窖,SELL,112.36,100,时间止损 382天,-98.0000000000004
2026-03-04,000568,泸州老窖,SELL,103.64,100,硬止损 -8.6%,-970.0000000000002
2026-05-28,000975,山金国际,BUY,22.8,8700,入场: 深度价值信号,0.0
2026-06-08,000975,山金国际,SELL,20.3,8700,硬止损 -11.0%,-21750.0
2026-06-08,000568,泸州老窖,BUY,84.56,2300,入场: 深度价值信号,0.0
2026-06-08,000975,山金国际,BUY,20.3,9800,入场: 深度价值信号,0.0
2026-06-16,002027,分众传媒,BUY,5.2,38400,入场: 深度价值信号,0.0
2026-06-24,000568,泸州老窖,SELL,76.87,2300,硬止损 -9.1%,-17686.999999999996
2026-06-24,000568,泸州老窖,BUY,76.87,2500,入场: 深度价值信号,0.0
2026-06-25,000975,山金国际,SELL,18.04,9800,硬止损 -11.1%,-22148.000000000015
2026-06-25,000975,山金国际,BUY,18.04,10600,入场: 深度价值信号,0.0
2026-06-26,002027,分众传媒,SELL,4.76,38400,硬止损 -8.5%,-16896.000000000015
2026-06-26,002027,分众传媒,BUY,4.76,39700,入场: 深度价值信号,0.0
